year;month;air-transport-europe;air-transport-intercont;air-transport-total;europe;intercontinental;passengers-total;o&d;transfer;passengers-total;scheduled;nonscheduled;transit-direct;passengers-total;cargo-tons;cargo-mail-tons
1992;january;14716;2955;17671;726163;423659;1149822;739774;410048;1149822;1051816;98006;35052;1184874;50456,742;2166,014
1992;february;14030;2779;16809;719055;367924;1086979;728823;358156;1086979;997218;89761;30491;1117470;56179,94;2153,801
1992;march;15454;2998;18452;847487;429187;1276674;866246;410428;1276674;1160363;116311;32161;1308835;64284,091;2242,157
1992;april;16649;3011;19660;1056108;466414;1522522;1065468;457054;1276674;1307113;215409;32640;1555162;56924,102;2251,651
1992;may;17591;3167;20758;1223278;518839;1742117;1276443;465674;1742117;1411578;330539;34620;1776737;58328,282;2232,395
1992;june;17472;3137;20609;1201846;535429;1737275;1219877;517398;1737275;1398283;338992;37386;1774661;53453,435;2166,196
1992;july;18575;3420;21995;1340419;639481;1979900;1412898;567002;1979900;1520926;458974;43290;2023190;56185,552;2332,55
1992;august;18314;3511;21825;1398556;662480;2061036;1483508;577528;2061036;1518283;542753;44748;2105784;51319,467;2054,57
1992;september;17791;3262;21053;1292031;575912;1867943;1331429;536514;1867943;1463394;404549;41108;1909051;53547,716;2306,387
1992;october;17753;3285;21038;1158699;549053;1707752;1192786;514966;1707752;1412656;295096;36049;1743801;60722,586;2558,393
1992;november;16653;3336;19989;846584;452172;1298756;844596;454160;1298756;1196059;102697;29878;1328634;67931,415;2731,774
1992;december;15568;3385;18953;817995;463819;1281814;803326;478488;1281814;1180317;101497;35051;1316865;65706,983;3603,522
1993;january;16486;3312;19798;803529;477622;1281151;776505;504646;1281151;1172230;108921;37577;1318728;56033,723;2505,197
1993;february;14685;2943;17628;771519;393457;1164976;736274;428702;1164976;1066455;98521;27577;1192553;60096,951;2412,88
1993;march;17152;3361;20513;964825;489504;1454329;904977;549352;1454329;1329503;124826;37403;1491732;71102,805;2734,847
1993;april;18017;3411;21428;1118817;526471;1645288;1022580;622708;1645288;1459459;185829;42149;1687437;65192,97;2626,565
1993;may;19088;3514;22602;1269237;548506;1817743;1166889;650854;1817743;1524030;293713;42395;1860138;65014,037;2628,796
1993;june;18747;3532;22279;1292998;602787;1895785;1172007;723778;1895785;1591041;304744;46045;1941830;59788,465;2547,98
1993;july;20245;3872;24117;1487622;748689;2236311;1424025;812286;2236311;1761511;474800;53257;2289568;60520,623;2649,511
1993;august;20209;3892;24101;1526835;769116;2295951;1485493;810458;2295951;1771478;524473;51182;2347133;56287,386;2427,453
1993;september;19295;3682;22977;1423636;663679;2087315;1358289;729026;2087315;1686169;401146;47650;2134965;61016,621;2733,046
1993;october;19150;3829;22979;1343259;637632;1980891;1286421;694470;1980891;1664633;316258;42748;2023639;71214,803;3074,148
1993;november;17145;3636;20781;962921;502525;1465446;910868;554578;1465446;1345245;120201;34740;1500186;72941,675;3001,174
1993;december;16653;3819;20472;919326;525700;1445026;850248;594778;1445026;1344184;100842;41334;1486360;76167,587;4247,355
1994;january;17398;3695;21093;929842;558278;1488120;863976;624144;1488120;1369107;119013;41210;1529330;64600,956;2670,111
1994;february;15958;3247;19205;885022;453311;1338333;814931;523402;1338333;1220768;117565;27131;1365464;68354,366;2577,39
1994;march;18305;3726;22031;1133628;582161;1715789;1027187;688602;1715789;1569485;146304;39092;1754881;76896,552;2993,554
1994;april;18702;3702;22404;1227239;578851;1806090;1120310;685780;1806090;1615375;190715;35079;1841169;67042,954;2696,639
1994;may;20356;3785;24141;1456056;627260;2083316;1374826;708490;2083316;1731411;351905;40767;2124083;65908,574;2695,924
1994;june;19789;3753;23542;1417042;675236;2092278;1333856;758422;2092278;1745450;346828;45151;2137429;63818,22;2783,7
1994;july;20813;4107;24920;1601073;829727;2430800;1578960;851840;2430800;1928084;502716;50089;2480889;63456,863;2819,909
1994;august;20970;4120;25090;1598506;826388;2424894;1564020;860874;2424894;1916658;508236;51830;2476724;61142,321;2628,016
1994;september;20056;3911;23967;1563969;735047;2299016;1459138;839878;2299016;1903267;395749;46148;2345164;65994,829;3058,192
1994;october;19912;4031;23943;1439472;691216;2130688;1346980;783708;2130688;1824980;305708;40741;2171429;77825,19;3288,122
1994;november;18235;3835;22070;1081320;570901;1652221;996145;656076;1652221;1547807;104414;32235;1684456;80734,493;3536,47
1994;december;17669;3989;21658;1024775;583387;1608162;930264;677898;1608162;1510780;97382;40618;1648780;82128,749;4825,813
1995;january;18563;3953;22516;1024360;622714;1647074;924394;722680;1647074;1534837;112237;41977;1689051;70467,111;3315,659
1995;february;17256;3589;20845;964298;515393;1479691;866061;613630;1479691;1373719;105972;29746;1509437;76021,982;3091,931
1995;march;19515;4146;23661;1233207;651771;1884978;1119920;765058;1884978;1739048;145930;41121;1926099;90943,867;3459,254
1995;april;19289;4218;23507;1336344;671554;2007898;1230136;777762;2007898;1763673;244225;42828;2050726;81964,22;3256,487
1995;may;21101;4286;25387;1509693;699261;2208954;1433332;775622;2208954;1834491;374463;42174;2251128;76681,206;3198,293
1995;june;20229;4183;24412;1489265;727899;2217164;1389220;827944;2217164;1859689;357475;46597;2263761;77635,716;3211,616
1995;july;21609;4577;26186;1649977;884314;2534291;1616139;918152;2534291;2019344;514947;47877;2582168;78334,565;3122,874
1995;august;21887;4555;26442;1656967;903345;2560312;1622834;937478;2560312;2038463;521849;46698;2607010;72014,606;3099,274
1995;september;20628;4385;25013;1608667;820402;2429069;1525365;903704;2429069;2015084;413985;40449;2469518;80066,259;3431,339
1995;october;20900;4473;25373;1519766;795311;2315077;1441673;873404;2315077;1989471;325606;40136;2355213;86310,316;3694,532
1995;november;19477;4393;23870;1157281;642327;1799608;1059606;740002;1799608;1675581;124027;35864;1835472;94221,945;3836,562
1995;december;18821;4657;23478;1098683;673907;1772590;1003016;769574;1772590;1636770;135820;42828;1815418;92869,458;5065,983
1996;january;19580;4464;24044;1061606;683193;1744799;966163;778636;1744799;1617341;127458;44174;1788973;82567,168;3524,103
1996;february;18413;4128;22541;1052087;607006;1659093;967279;691814;1659093;1531041;128052;33041;1692134;86754,661;3471,017
1996;march;20405;4598;25003;1332208;767613;2099821;1223519;876302;2099821;1923147;176674;41663;2141484;100685,247;3704,707
1996;april;21421;4584;26005;1398251;737485;2135736;1290214;845522;2135736;1904514;231222;39948;2175684;88325,563;3268,705
1996;may;23440;4674;28114;1640433;787461;2427894;1542508;885386;2427894;2048200;379694;44675;2472569;86585,023;3273,652
1996;june;22742;4583;27325;1644575;824307;2468882;1499296;969586;2468882;2093994;374888;46167;2515049;85109,744;3046,823
1996;july;24493;5001;29494;1737992;965225;2703217;1687893;1015324;2703217;2194780;508437;49301;2752518;80493,958;3105,302
1996;august;24424;5075;29499;1783229;983612;2766841;1720713;1046128;2766841;2241672;525169;54290;2821131;83893,438;2831,977
1996;september;23685;4666;28351;1769166;886070;2655236;1614758;1040478;2655236;2243760;411476;44970;2700206;87162,359;3066,961
